"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 02 12:02:07 IST 2019","Mon Sep 02 12:02:46 IST 2019","38792","MobiFin 4.1.0 - Admin Portal - Settings Module","MobiFin 4.1.0 - Settings","com.panamax.testcases.SettingsGISMasterCountry","com.panamax.testcases.SettingsGISMasterCountry","deleteCountry","Id: EditCountry, Author: Dishant Doshi",""
"passed","Mon Sep 02 12:02:46 IST 2019","Mon Sep 02 12:04:14 IST 2019","88124","MobiFin 4.1.0 - Admin Portal - Settings Module","MobiFin 4.1.0 - Settings","com.panamax.testcases.AgentAssistantOnboarding","com.panamax.testcases.AgentAssistantOnboarding","sortAssistantOnboarding","Id: SortAssistantOnboarding, Author: Dishant Doshi",""
"passed","Mon Sep 02 12:04:16 IST 2019","Mon Sep 02 12:04:54 IST 2019","38932","MobiFin 4.1.0 - Admin Portal - Settings Module","MobiFin 4.1.0 - Settings","com.panamax.testcases.SettingsGISMasterCountry","com.panamax.testcases.SettingsGISMasterCountry","sortCountry","Id: SortCountry, Author: Dishant Doshi",""
"passed","Mon Sep 02 12:00:47 IST 2019","Mon Sep 02 12:01:31 IST 2019","44169","MobiFin 4.1.0 - Admin Portal - Settings Module","MobiFin 4.1.0 - Settings","com.panamax.testcases.AgentAssistantOnboarding","com.panamax.testcases.AgentAssistantOnboarding","deleteAssistantOnboarding","Id: DeleteAssistantOnboarding, Author: Dishant Doshi",""
